256,256
0,0,0.058361 
0,1,0.100873 
0,2,0.189510 
0,3,0.255469 
0,4,0.280109 
0,5,0.337659 
0,6,0.363607 
0,7,0.419271 
0,8,0.496993 
0,9,0.530935 
0,10,0.532133 
0,11,0.484099 
0,12,0.437874 
0,13,0.383617 
0,14,0.340334 
0,15,0.315425 
0,16,0.315252 
0,17,0.282022 
0,18,0.220369 
0,19,0.185902 
0,20,0.149419 
0,21,0.093944 
0,22,0.081542 
0,23,0.141640 
0,24,0.157385 
0,25,0.151715 
0,26,0.149833 
0,27,0.133330 
0,28,0.139688 
0,29,0.139950 
0,30,0.128940 
0,31,0.171727 
0,32,0.192997 
0,33,0.166102 
0,34,0.166934 
0,35,0.165256 
0,36,0.178154 
0,37,0.197541 
0,38,0.197264 
0,39,0.196693 
0,40,0.222213 
0,41,0.259549 
0,42,0.250347 
0,43,0.238242 
0,44,0.241120 
0,45,0.214555 
0,46,0.193543 
0,47,0.202567 
0,48,0.217628 
0,49,0.217494 
0,50,0.221911 
0,51,0.216421 
0,52,0.173046 
0,53,0.166126 
0,54,0.199179 
0,55,0.205619 
0,56,0.205082 
0,57,0.209252 
0,58,0.207006 
0,59,0.160525 
0,60,0.117100 
0,61,0.122170 
0,62,0.079232 
0,63,0.000000 
0,64,-0.065392 
0,65,-0.099643 
0,66,-0.127378 
0,67,-0.148768 
0,68,-0.159529 
0,69,-0.187725 
0,70,-0.183993 
0,71,-0.131757 
0,72,-0.081047 
0,73,-0.074644 
0,74,-0.063434 
0,75,-0.001619 
0,76,0.046235 
0,77,0.062618 
0,78,0.044576 
0,79,-0.019214 
0,80,-0.072333 
0,81,-0.098439 
0,82,-0.091723 
0,83,-0.107796 
0,84,-0.116004 
0,85,-0.078914 
0,86,-0.055240 
0,87,-0.085780 
0,88,-0.101385 
0,89,-0.071624 
0,90,-0.038871 
0,91,-0.031050 
0,92,-0.056286 
0,93,-0.029380 
0,94,0.009276 
0,95,0.030509 
0,96,0.059683 
0,97,0.091417 
0,98,0.122097 
0,99,0.115740 
0,100,0.116862 
0,101,0.133066 
0,102,0.135440 
0,103,0.127590 
0,104,0.093375 
0,105,0.046357 
0,106,-0.015509 
0,107,-0.074403 
0,108,-0.117460 
0,109,-0.178167 
0,110,-0.203993 
0,111,-0.215388 
0,112,-0.228844 
0,113,-0.251747 
0,114,-0.275846 
0,115,-0.254720 
0,116,-0.224595 
0,117,-0.226205 
0,118,-0.244388 
0,119,-0.199368 
0,120,-0.148330 
0,121,-0.110377 
0,122,-0.083895 
0,123,-0.083085 
0,124,-0.093542 
0,125,-0.088151 
0,126,-0.031176 
0,127,0.000000 
0,128,0.029239 
0,129,0.074268 
0,130,0.089133 
0,131,0.049977 
0,132,0.008974 
0,133,0.010510 
0,134,-0.000754 
0,135,-0.076114 
0,136,-0.164897 
0,137,-0.206919 
0,138,-0.222272 
0,139,-0.183225 
0,140,-0.131003 
0,141,-0.082517 
0,142,-0.069946 
0,143,-0.067835 
0,144,-0.040066 
0,145,-0.038265 
0,146,-0.017959 
0,147,0.023775 
