64,64
0,0,0.145796 
0,1,0.281149 
0,2,0.424519 
0,3,0.574670 
0,4,0.718107 
0,5,0.852431 
0,6,0.862672 
0,7,0.968138 
0,8,0.972108 
0,9,0.918357 
0,10,0.930834 
0,11,0.856762 
0,12,0.792988 
0,13,0.627098 
0,14,0.346109 
0,15,0.000000 
0,16,-0.245951 
0,17,-0.177459 
0,18,-0.065122 
0,19,-0.213485 
0,20,-0.253573 
0,21,-0.175908 
0,22,-0.168820 
0,23,-0.324103 
0,24,-0.558553 
0,25,-0.519098 
0,26,-0.414997 
0,27,-0.156156 
0,28,0.004415 
0,29,-0.010300 
0,30,0.009976 
0,31,0.000000 
0,32,-0.000071 
0,33,-0.160633 
0,34,-0.358683 
0,35,-0.420170 
0,36,-0.502099 
0,37,-0.423782 
0,38,-0.251479 
0,39,-0.128863 
0,40,0.124101 
0,41,0.237236 
0,42,0.186983 
0,43,0.134931 
0,44,0.068910 
0,45,-0.053739 
0,46,-0.117424 
0,47,0.000000 
0,48,-0.029562 
0,49,-0.139804 
0,50,-0.203921 
0,51,-0.250022 
0,52,-0.260596 
0,53,-0.279484 
0,54,-0.349893 
0,55,-0.288025 
0,56,-0.179956 
0,57,-0.068071 
0,58,-0.016292 
0,59,-0.006437 
0,60,-0.070344 
0,61,-0.116672 
0,62,-0.062520 
0,63,0.062341 
1,0,0.215189 
1,1,0.351471 
1,2,0.496826 
1,3,0.669857 
1,4,0.888237 
1,5,0.985293 
1,6,0.925936 
1,7,1.026908 
1,8,1.119713 
1,9,1.029903 
1,10,0.922040 
1,11,0.835245 
1,12,0.704929 
1,13,0.518531 
1,14,0.284212 
1,15,-0.006786 
1,16,-0.171326 
1,17,-0.103588 
1,18,-0.058126 
1,19,-0.203258 
1,20,-0.151503 
1,21,-0.038423 
1,22,-0.088643 
1,23,-0.257531 
1,24,-0.455664 
1,25,-0.430640 
1,26,-0.298950 
1,27,-0.034343 
1,28,0.052626 
1,29,-0.076756 
1,30,-0.149515 
1,31,-0.170716 
1,32,-0.117190 
1,33,-0.179190 
1,34,-0.301662 
1,35,-0.313119 
1,36,-0.358661 
1,37,-0.290883 
1,38,-0.167729 
1,39,-0.073535 
1,40,0.143754 
1,41,0.273564 
1,42,0.239913 
1,43,0.063198 
1,44,-0.062035 
1,45,-0.157473 
1,46,-0.245566 
1,47,-0.149720 
1,48,-0.204776 
1,49,-0.359336 
1,50,-0.378433 
1,51,-0.455478 
1,52,-0.465572 
1,53,-0.401226 
1,54,-0.356311 
1,55,-0.254502 
1,56,-0.241009 
1,57,-0.131323 
1,58,0.003933 
1,59,0.111023 
1,60,0.099533 
1,61,-0.000096 
1,62,0.068831 
1,63,0.204901 
2,0,0.354414 
2,1,0.453528 
2,2,0.584783 
2,3,0.793946 
2,4,1.067216 
2,5,1.119582 
2,6,1.064820 
2,7,1.223097 
2,8,1.307605 
2,9,1.069125 
2,10,0.858911 
2,11,0.794559 
2,12,0.601326 
2,13,0.411913 
2,14,0.182582 
2,15,-0.086878 
2,16,-0.184670 
2,17,-0.141882 
2,18,-0.082919 
2,19,-0.159721 
2,20,-0.113848 
2,21,-0.072260 
2,22,-0.080839 
2,23,-0.139108 
2,24,-0.293606 
2,25,-0.312699 
2,26,-0.264320 
2,27,-0.092100 
2,28,-0.028163 
2,29,-0.189383 
2,30,-0.295661 
2,31,-0.278333 
2,32,-0.213324 
2,33,-0.241505 
2,34,-0.374016 
2,35,-0.415864 
2,36,-0.405372 
2,37,-0.319405 
2,38,-0.177803 
2,39,-0.069173 
2,40,0.018397 
2,41,0.112311 
2,42,0.223060 
2,43,0.041324 
2,44,-0.122041 
2,45,-0.167412 
2,46,-0.263927 
2,47,-0.189738 
2,48,-0.214881 
2,49,-0.364015 
2,50,-0.406341 
2,51,-0.587108 
2,52,-0.637323 
2,53,-0.544451 
2,54,-0.455484 
2,55,-0.361401 
2,56,-0.349723 
2,57,-0.149742 
2,58,-0.066370 
2,59,0.002387 
2,60,0.104352 
2,61,0.035165 
2,62,0.131388 
2,63,0.376537 
3,0,0.515122 
3,1,0.554186 
3,2,0.716206 
3,3,0.910132 
3,4,1.115729 
3,5,1.174763 
3,6,1.174621 
3,7,1.312131 
3,8,1.277125 
3,9,1.033321 
3,10,0.896601 
3,11,0.805543 
3,12,0.574159 
3,13,0.306480 
3,14,0.045055 
3,15,-0.153854 
3,16,-0.171885 
3,17,-0.099570 
3,18,-0.089984 
3,19,-0.085536 
3,20,-0.044023 
3,21,-0.119116 
3,22,-0.092250 
3,23,-0.075106 
3,24,-0.259691 
3,25,-0.296034 
3,26,-0.311326 
3,27,-0.317172 
3,28,-0.306067 
3,29,-0.336844 
3,30,-0.361635 
3,31,-0.328913 
3,32,-0.260527 
3,33,-0.298403 
3,34,-0.368664 
3,35,-0.445058 
3,36,-0.493108 
3,37,-0.399540 
3,38,-0.199335 
3,39,-0.087243 
3,40,-0.063070 
3,41,-0.015654 
3,42,0.068940 
3,43,-0.015101 
3,44,-0.071662 
3,45,-0.068595 
3,46,-0.155825 
3,47,-0.157857 
3,48,-0.253087 
3,49,-0.385785 
3,50,-0.421155 
3,51,-0.588915 
3,52,-0.665847 
3,53,-0.633209 
3,54,-0.632372 
3,55,-0.549560 
3,56,-0.471393 
3,57,-0.253376 
3,58,-0.202474 
3,59,-0.182090 
3,60,-0.005939 
3,61,0.037708 
3,62,0.138937 
3,63,0.421272 
4,0,0.594161 
4,1,0.643670 
4,2,0.845148 
4,3,0.995584 
4,4,1.162600 
4,5,1.239484 
4,6,1.189745 
4,7,1.226255 
4,8,1.152091 
4,9,1.011445 
4,10,0.861488 
4,11,0.644802 
4,12,0.456244 
4,13,0.173266 
4,14,-0.065149 
4,15,-0.145672 
4,16,-0.103733 
4,17,-0.022370 
4,18,-0.108020 
4,19,-0.066241 
4,20,0.025502 
4,21,-0.108519 
4,22,-0.171376 
4,23,-0.207464 
4,24,-0.424214 
4,25,-0.461521 
4,26,-0.433869 
4,27,-0.513530 
4,28,-0.627959 
4,29,-0.593552 
4,30,-0.512621 
4,31,-0.452869 
4,32,-0.292790 
4,33,-0.245491 
4,34,-0.278454 
4,35,-0.415256 
4,36,-0.446254 
4,37,-0.288861 
4,38,-0.168534 
4,39,-0.156739 
4,40,-0.138150 
4,41,-0.113274 
4,42,-0.074185 
4,43,-0.071377 
4,44,-0.136385 
4,45,-0.197381 
4,46,-0.208300 
4,47,-0.213155 
4,48,-0.298914 
4,49,-0.320185 
4,50,-0.370205 
4,51,-0.552017 
4,52,-0.680490 
4,53,-0.762261 
4,54,-0.838320 
4,55,-0.741045 
4,56,-0.647813 
4,57,-0.457067 
4,58,-0.291872 
4,59,-0.193216 
4,60,-0.063212 
4,61,-0.026558 
4,62,0.157793 
4,63,0.414108 
5,0,0.643760 
5,1,0.819690 
5,2,1.022253 
5,3,1.110165 
5,4,1.158894 
5,5,1.183487 
5,6,1.106950 
5,7,1.111175 
5,8,1.098001 
5,9,0.941325 
5,10,0.742386 
5,11,0.590540 
5,12,0.380490 
5,13,0.120913 
5,14,-0.010034 
5,15,-0.099642 
5,16,-0.145074 
5,17,-0.074924 
5,18,-0.074810 
5,19,-0.144724 
5,20,-0.172512 
5,21,-0.261030 
5,22,-0.318205 
5,23,-0.425064 
5,24,-0.623149 
5,25,-0.603949 
5,26,-0.605689 
5,27,-0.671419 
5,28,-0.704989 
5,29,-0.707703 
5,30,-0.713372 
5,31,-0.719323 
5,32,-0.491329 
5,33,-0.318344 
5,34,-0.305480 
5,35,-0.408048 
5,36,-0.398928 
5,37,-0.203277 
5,38,-0.199469 
5,39,-0.227063 
5,40,-0.168602 
5,41,-0.204837 
5,42,-0.195019 
5,43,-0.156770 
5,44,-0.288971 
5,45,-0.363348 
5,46,-0.312351 
5,47,-0.274851 
5,48,-0.243800 
5,49,-0.213533 
5,50,-0.309840 
5,51,-0.455551 
5,52,-0.610984 
5,53,-0.768334 
5,54,-0.861388 
5,55,-0.850799 
5,56,-0.791162 
5,57,-0.619690 
5,58,-0.382748 
5,59,-0.253255 
5,60,-0.147733 
5,61,-0.116672 
5,62,0.053636 
5,63,0.367858 
6,0,0.618629 
6,1,0.848374 
6,2,1.101167 
6,3,1.186654 
6,4,1.133625 
6,5,1.163050 
6,6,1.064649 
6,7,1.016414 
6,8,1.059922 
6,9,0.869251 
6,10,0.625957 
6,11,0.548385 
6,12,0.329721 
6,13,0.132678 
6,14,0.066954 
6,15,-0.109330 
6,16,-0.189890 
6,17,-0.056619 
6,18,0.073881 
6,19,-0.056960 
6,20,-0.228786 
6,21,-0.311345 
6,22,-0.402959 
6,23,-0.607499 
6,24,-0.811858 
6,25,-0.764798 
6,26,-0.781265 
6,27,-0.814618 
6,28,-0.814211 
6,29,-0.916987 
6,30,-0.868536 
6,31,-0.808733 
6,32,-0.683623 
6,33,-0.547788 
6,34,-0.441781 
6,35,-0.433658 
6,36,-0.459561 
6,37,-0.317861 
6,38,-0.351952 
6,39,-0.334345 
6,40,-0.200775 
6,41,-0.258204 
6,42,-0.315839 
6,43,-0.301170 
6,44,-0.404710 
6,45,-0.383827 
6,46,-0.309053 
6,47,-0.272577 
6,48,-0.232712 
6,49,-0.268401 
6,50,-0.353224 
6,51,-0.388180 
6,52,-0.520570 
6,53,-0.685531 
6,54,-0.752051 
6,55,-0.815260 
6,56,-0.738874 
6,57,-0.553908 
6,58,-0.384010 
